EEID,Full Name,Job Title,Department,Business Unit,Gender,Ethnicity,Age,Hire Date,Annual Salary $,Monthly Salary $,Bonus %,Bonus Awarded,Bonus Amount $,Total Salary $,Country,City
E02899,JOSHUA CORTEZ,SR. MANAGER,FINANCE,CORPORATE,MALE,LATINO,44,11/08/2007,126277,10523.083333333334,13,Y,16416.01,142693.01,BRAZIL,MANAUS
E03393,HENRY FIGUEROA,SR. MANAGER,FINANCE,MANUFACTURING,MALE,LATINO,46,19/07/2010,134881,11240.083333333334,15,Y,20232.149999999998,155113.15,BRAZIL,MANAUS
E04037,ROMAN MARTINEZ,SR. MANAGER,FINANCE,RESEARCH & DEVELOPMENT,MALE,LATINO,31,19/09/2015,145846,12153.833333333334,15,Y,21876.9,167722.9,BRAZIL,MANAUS
E02193,JOSEPHINE ACOSTA,DIRECTOR,HUMAN RESOURCES,SPECIALITY PRODUCTS,FEMALE,LATINO,40,20/09/2020,198176,16514.666666666668,17,Y,33689.92,231865.91999999998,BRAZIL,MANAUS
E00078,EVA GARCIA,HRIS ANALYST,HUMAN RESOURCES,CORPORATE,FEMALE,LATINO,31,11/04/2021,72235,6019.583333333333,0,N,0.0,72235.0,BRAZIL,MANAUS
E00672,MILA PENA,SR. BUSINESS PARTNER,HUMAN RESOURCES,MANUFACTURING,FEMALE,LATINO,45,21/12/2007,93840,7820.0,0,N,0.0,93840.0,BRAZIL,MANAUS
E04167,HENRY ALVAREZ,SR. BUSINESS PARTNER,HUMAN RESOURCES,MANUFACTURING,MALE,LATINO,48,12/04/2005,87158,7263.166666666667,0,N,0.0,87158.0,BRAZIL,MANAUS
E01407,ELLIE GUERRERO,SR. MANAGER,HUMAN RESOURCES,CORPORATE,FEMALE,LATINO,29,13/07/2020,141555,11796.25,11,Y,15571.05,157126.05,BRAZIL,MANAUS
E00035,LILLIAN GONZALES,CLOUD INFRASTRUCTURE ARCHITECT,IT,MANUFACTURING,FEMALE,LATINO,43,13/03/2009,62335,5194.583333333333,0,N,0.0,62335.0,BRAZIL,MANAUS
E03440,GENESIS NAVARRO,CLOUD INFRASTRUCTURE ARCHITECT,IT,CORPORATE,FEMALE,LATINO,41,28/04/2009,69803,5816.916666666667,0,N,0.0,69803.0,BRAZIL,MANAUS
E01724,NOLAN MOLINA,COMPUTER SYSTEMS MANAGER,IT,CORPORATE,MALE,LATINO,36,27/12/2020,70165,5847.083333333333,7,Y,4911.55,75076.55,BRAZIL,MANAUS
E01417,LEAH PENA,ENTERPRISE ARCHITECT,IT,CORPORATE,FEMALE,LATINO,57,03/01/1994,82872,6906.0,0,N,0.0,82872.0,BRAZIL,MANAUS
E00494,ROBERT ALVAREZ,SERVICE DESK ANALYST,IT,CORPORATE,MALE,LATINO,39,21/10/2016,84297,7024.75,0,N,0.0,84297.0,BRAZIL,MANAUS
E00699,AVA AYALA,SR. MANAGER,IT,CORPORATE,FEMALE,LATINO,55,16/08/2006,159044,13253.666666666666,10,Y,15904.400000000001,174948.4,BRAZIL,MANAUS
E03680,ELIAS ALVARADO,SR. MANAGER,IT,MANUFACTURING,MALE,LATINO,56,09/01/2012,146140,12178.333333333334,10,Y,14614.0,160754.0,BRAZIL,MANAUS
E00862,LEVI MORENO,SYSTEMS ANALYST,IT,RESEARCH & DEVELOPMENT,MALE,LATINO,64,27/06/2020,40316,3359.6666666666665,0,N,0.0,40316.0,BRAZIL,MANAUS
E01432,PEYTON GARZA,SYSTEMS ANALYST,IT,MANUFACTURING,FEMALE,LATINO,53,15/08/2004,44735,3727.9166666666665,0,N,0.0,44735.0,BRAZIL,MANAUS
E01423,JAMES CASTILLO,VICE PRESIDENT,IT,MANUFACTURING,MALE,LATINO,51,19/07/2001,247874,20656.166666666668,33,Y,81798.42,329672.42,BRAZIL,MANAUS
E03240,AIDEN SILVA,VICE PRESIDENT,IT,RESEARCH & DEVELOPMENT,MALE,LATINO,42,29/11/2010,186725,15560.416666666666,32,Y,59752.0,246477.0,BRAZIL,MANAUS
E02627,PARKER AVILA,ANALYST II,MARKETING,MANUFACTURING,MALE,LATINO,47,28/11/2005,62749,5229.083333333333,0,N,0.0,62749.0,BRAZIL,MANAUS
E02889,MIA HERRERA,DIRECTOR,MARKETING,RESEARCH & DEVELOPMENT,FEMALE,LATINO,43,16/10/2014,171360,14280.0,23,Y,39412.799999999996,210772.8,BRAZIL,MANAUS
E00447,HAILEY SANCHEZ,VICE PRESIDENT,MARKETING,CORPORATE,FEMALE,LATINO,32,05/02/2014,203445,16953.75,34,Y,69171.3,272616.3,BRAZIL,MANAUS
E03159,CLAIRE ROMERO,VICE PRESIDENT,MARKETING,MANUFACTURING,FEMALE,LATINO,37,21/07/2011,219474,18289.5,36,Y,79010.63999999998,298484.64,BRAZIL,MANAUS
E03805,AUTUMN GONZALES,ANALYST II,SALES,CORPORATE,FEMALE,LATINO,34,06/06/2012,72126,6010.5,0,N,0.0,72126.0,BRAZIL,MANAUS
E00145,ALEXANDER RIVERA,SR. ANALYST,SALES,RESEARCH & DEVELOPMENT,MALE,LATINO,58,27/04/2009,76802,6400.166666666667,0,N,0.0,76802.0,BRAZIL,MANAUS
E00184,KAYDEN ORTEGA,ANALYST,ACCOUNTING,MANUFACTURING,MALE,LATINO,58,19/04/2010,56350,4695.833333333333,0,N,0.0,56350.0,BRAZIL,RIO DE JANERIO
E02062,NORA SANTIAGO,ANALYST,ACCOUNTING,RESEARCH & DEVELOPMENT,FEMALE,LATINO,55,26/06/1996,48687,4057.25,0,N,0.0,48687.0,BRAZIL,RIO DE JANERIO
E01883,ISLA GUZMAN,SR. MANAGER,ACCOUNTING,SPECIALITY PRODUCTS,FEMALE,LATINO,28,06/07/2019,152036,12669.666666666666,15,Y,22805.399999999998,174841.4,BRAZIL,RIO DE JANERIO
E04742,KINSLEY VEGA,VICE PRESIDENT,ACCOUNTING,CORPORATE,FEMALE,LATINO,33,16/12/2020,258426,21535.5,40,Y,103370.40000000001,361796.4,BRAZIL,RIO DE JANERIO
E02563,CLARA SANCHEZ,CONTROLS ENGINEER,ENGINEERING,CORPORATE,FEMALE,LATINO,47,02/10/2018,111404,9283.666666666666,0,N,0.0,111404.0,BRAZIL,RIO DE JANERIO
E00268,IAN FLORES,DIRECTOR,ENGINEERING,CORPORATE,MALE,LATINO,48,10/12/2019,183113,15259.416666666666,24,Y,43947.12,227060.12,BRAZIL,RIO DE JANERIO
E00276,KENNEDY ROMERO,ENGINEERING MANAGER,ENGINEERING,RESEARCH & DEVELOPMENT,FEMALE,LATINO,37,27/12/2018,87359,7279.916666666667,11,Y,9609.49,96968.49,BRAZIL,RIO DE JANERIO
E01508,PENELOPE RODRIGUEZ,ENGINEERING MANAGER,ENGINEERING,MANUFACTURING,FEMALE,LATINO,49,12/03/2016,100810,8400.833333333334,12,Y,12097.2,112907.2,BRAZIL,RIO DE JANERIO
E03664,ARIA CASTRO,ENGINEERING MANAGER,ENGINEERING,SPECIALITY PRODUCTS,FEMALE,LATINO,45,14/03/2014,113873,9489.416666666666,11,Y,12526.03,126399.03,BRAZIL,RIO DE JANERIO
E04163,DAVID HERRERA,ENGINEERING MANAGER,ENGINEERING,SPECIALITY PRODUCTS,MALE,LATINO,32,09/10/2021,102298,8524.833333333334,13,Y,13298.74,115596.74,BRAZIL,RIO DE JANERIO
E04811,ATHENA VASQUEZ,FIELD ENGINEER,ENGINEERING,SPECIALITY PRODUCTS,FEMALE,LATINO,59,16/09/2014,69578,5798.166666666667,0,N,0.0,69578.0,BRAZIL,RIO DE JANERIO
E02649,CHARLES GONZALEZ,QUALITY ENGINEER,ENGINEERING,RESEARCH & DEVELOPMENT,MALE,LATINO,27,28/09/2018,64247,5353.916666666667,0,N,0.0,64247.0,BRAZIL,RIO DE JANERIO
E02730,AXEL SOTO,QUALITY ENGINEER,ENGINEERING,CORPORATE,MALE,LATINO,46,22/04/2005,96639,8053.25,0,N,0.0,96639.0,BRAZIL,RIO DE JANERIO
E04545,ABIGAIL MEJIA,QUALITY ENGINEER,ENGINEERING,CORPORATE,FEMALE,LATINO,56,05/02/2005,98581,8215.083333333334,0,N,0.0,98581.0,BRAZIL,RIO DE JANERIO
E02464,SOPHIE SILVA,VICE PRESIDENT,ENGINEERING,CORPORATE,FEMALE,LATINO,28,06/07/2017,240488,20040.666666666668,40,Y,96195.20000000001,336683.2,BRAZIL,RIO DE JANERIO
E03904,HUNTER ORTIZ,SR. ANALYST,FINANCE,CORPORATE,MALE,LATINO,46,20/01/2013,86061,7171.75,0,N,0.0,86061.0,BRAZIL,RIO DE JANERIO
E02810,LAYLA TORRES,SR. MANAGER,FINANCE,MANUFACTURING,FEMALE,LATINO,37,24/02/2013,157474,13122.833333333334,11,Y,17322.14,174796.14,BRAZIL,RIO DE JANERIO
E00842,JOHN VEGA,VICE PRESIDENT,FINANCE,CORPORATE,MALE,LATINO,50,18/01/2004,247939,20661.583333333332,35,Y,86778.65,334717.65,BRAZIL,RIO DE JANERIO
E03889,CALEB FLORES,MANAGER,HUMAN RESOURCES,MANUFACTURING,MALE,LATINO,34,13/08/2013,113909,9492.416666666666,6,Y,6834.539999999999,120743.54,BRAZIL,RIO DE JANERIO
E04029,JAYDEN JIMENEZ,MANAGER,HUMAN RESOURCES,CORPORATE,MALE,LATINO,46,24/09/2011,102167,8513.916666666666,6,Y,6130.0199999999995,108297.02,BRAZIL,RIO DE JANERIO
E00701,MADELINE GARCIA,SR. BUSINESS PARTNER,HUMAN RESOURCES,SPECIALITY PRODUCTS,FEMALE,LATINO,45,26/04/2019,74891,6240.916666666667,0,N,0.0,74891.0,BRAZIL,RIO DE JANERIO
E02063,IAN GUTIERREZ,SR. BUSINESS PARTNER,HUMAN RESOURCES,RESEARCH & DEVELOPMENT,MALE,LATINO,32,09/04/2021,70980,5915.0,0,N,0.0,70980.0,BRAZIL,RIO DE JANERIO
E01525,CHARLOTTE RUIZ,COMPUTER SYSTEMS MANAGER,IT,MANUFACTURING,FEMALE,LATINO,32,02/10/2017,61886,5157.166666666667,9,Y,5569.74,67455.74,BRAZIL,RIO DE JANERIO
E03484,LOGAN RIVERA,DIRECTOR,IT,RESEARCH & DEVELOPMENT,MALE,LATINO,59,24/05/2002,172787,14398.916666666666,28,Y,48380.36,221167.36,BRAZIL,RIO DE JANERIO
E02216,CALEB MARQUEZ,IT SYSTEMS ARCHITECT,IT,RESEARCH & DEVELOPMENT,MALE,LATINO,29,15/10/2019,66819,5568.25,0,N,0.0,66819.0,BRAZIL,RIO DE JANERIO
E03354,SILAS ESTRADA,IT SYSTEMS ARCHITECT,IT,CORPORATE,MALE,LATINO,49,24/06/2016,68426,5702.166666666667,0,N,0.0,68426.0,BRAZIL,RIO DE JANERIO
E00102,RILEY ROJAS,NETWORK ARCHITECT,IT,SPECIALITY PRODUCTS,FEMALE,LATINO,36,21/01/2021,90333,7527.75,0,N,0.0,90333.0,BRAZIL,RIO DE JANERIO
E00431,ELIZA HERNANDEZ,NETWORK ARCHITECT,IT,CORPORATE,FEMALE,LATINO,48,04/07/2019,76588,6382.333333333333,0,N,0.0,76588.0,BRAZIL,RIO DE JANERIO
E02917,EVERETT MORALES,SOLUTIONS ARCHITECT,IT,SPECIALITY PRODUCTS,MALE,LATINO,57,10/07/2014,66649,5554.083333333333,0,N,0.0,66649.0,BRAZIL,RIO DE JANERIO
E02888,ELIJAH RAMOS,SR. MANAGER,IT,SPECIALITY PRODUCTS,MALE,LATINO,33,24/12/2012,132544,11045.333333333334,10,Y,13254.400000000001,145798.4,BRAZIL,RIO DE JANERIO
E02221,JULIAN DELGADO,SYSTEMS ANALYST,IT,SPECIALITY PRODUCTS,MALE,LATINO,29,19/05/2016,52693,4391.083333333333,0,N,0.0,52693.0,BRAZIL,RIO DE JANERIO
E02803,ELI SOTO,ANALYST,MARKETING,SPECIALITY PRODUCTS,MALE,LATINO,38,02/05/2016,50784,4232.0,0,N,0.0,50784.0,BRAZIL,RIO DE JANERIO
E03370,IAN CORTEZ,ANALYST II,MARKETING,RESEARCH & DEVELOPMENT,MALE,LATINO,61,30/04/2008,69352,5779.333333333333,0,N,0.0,69352.0,BRAZIL,RIO DE JANERIO
E04155,DYLAN DOMINGUEZ,SR. ANALYST,MARKETING,RESEARCH & DEVELOPMENT,MALE,LATINO,42,07/04/2015,99697,8308.083333333334,0,N,0.0,99697.0,BRAZIL,RIO DE JANERIO
E00034,CAROLINE HERRERA,SR. MANAGER,MARKETING,MANUFACTURING,FEMALE,LATINO,45,19/08/2004,121065,10088.75,15,Y,18159.75,139224.75,BRAZIL,RIO DE JANERIO
E02189,ISLA CHAVEZ,ACCOUNT REPRESENTATIVE,SALES,RESEARCH & DEVELOPMENT,FEMALE,LATINO,29,19/05/2018,65334,5444.5,0,N,0.0,65334.0,BRAZIL,RIO DE JANERIO
E00568,IAN VARGAS,ANALYST,SALES,MANUFACTURING,MALE,LATINO,26,02/03/2021,44732,3727.6666666666665,0,N,0.0,44732.0,BRAZIL,RIO DE JANERIO
E02047,XAVIER PEREZ,SR. ANALYST,SALES,MANUFACTURING,MALE,LATINO,51,26/02/1998,71111,5925.916666666667,0,N,0.0,71111.0,BRAZIL,RIO DE JANERIO
E04108,JADE FIGUEROA,SR. ANALYST,SALES,MANUFACTURING,FEMALE,LATINO,33,14/05/2012,88343,7361.916666666667,0,N,0.0,88343.0,BRAZIL,RIO DE JANERIO
E04952,PAISLEY GOMEZ,SR. ANALYST,SALES,MANUFACTURING,FEMALE,LATINO,57,02/10/2007,98150,8179.166666666667,0,N,0.0,98150.0,BRAZIL,RIO DE JANERIO
E01652,AVERY DOMINGUEZ,SR. MANAGER,SALES,CORPORATE,FEMALE,LATINO,27,13/09/2019,133297,11108.083333333334,13,Y,17328.61,150625.61,BRAZIL,RIO DE JANERIO
E02783,LEVI MENDEZ,VICE PRESIDENT,SALES,RESEARCH & DEVELOPMENT,MALE,LATINO,39,23/08/2011,249506,20792.166666666668,30,Y,74851.8,324357.8,BRAZIL,RIO DE JANERIO
E02555,LANDON LOPEZ,SR. ANALYST,ACCOUNTING,MANUFACTURING,MALE,LATINO,38,05/07/2008,78056,6504.666666666667,0,N,0.0,78056.0,BRAZIL,SAO PAULO
E04817,ZOE SANCHEZ,SR. ANALYST,ACCOUNTING,RESEARCH & DEVELOPMENT,FEMALE,LATINO,53,23/12/2004,90212,7517.666666666667,0,N,0.0,90212.0,BRAZIL,SAO PAULO
E03438,ASHER MORALES,AUTOMATION ENGINEER,ENGINEERING,RESEARCH & DEVELOPMENT,MALE,LATINO,52,10/07/2020,88272,7356.0,0,N,0.0,88272.0,BRAZIL,SAO PAULO
E02535,CAROLINE PEREZ,CONTROLS ENGINEER,ENGINEERING,CORPORATE,FEMALE,LATINO,29,14/01/2018,80516,6709.666666666667,0,N,0.0,80516.0,BRAZIL,SAO PAULO
E00096,PEYTON CRUZ,DEVELOPMENT ENGINEER,ENGINEERING,MANUFACTURING,FEMALE,LATINO,30,26/05/2016,91134,7594.5,0,N,0.0,91134.0,BRAZIL,SAO PAULO
E00955,THEODORE MARQUEZ,DEVELOPMENT ENGINEER,ENGINEERING,SPECIALITY PRODUCTS,MALE,LATINO,54,24/11/2012,94407,7867.25,0,N,0.0,94407.0,BRAZIL,SAO PAULO
E01924,ANNA GUTIERREZ,DIRECTOR,ENGINEERING,RESEARCH & DEVELOPMENT,FEMALE,LATINO,59,15/04/2003,150699,12558.25,29,Y,43702.71,194401.71,BRAZIL,SAO PAULO
E02678,NICHOLAS RIVERA,DIRECTOR,ENGINEERING,CORPORATE,MALE,LATINO,45,13/04/2007,189680,15806.666666666666,23,Y,43626.4,233306.4,BRAZIL,SAO PAULO
E03802,THOMAS VAZQUEZ,DIRECTOR,ENGINEERING,CORPORATE,MALE,LATINO,46,19/07/2014,173629,14469.083333333334,21,Y,36462.09,210091.09,BRAZIL,SAO PAULO
E01713,NOLAN GUZMAN,FIELD ENGINEER,ENGINEERING,SPECIALITY PRODUCTS,MALE,LATINO,46,20/06/1999,96997,8083.083333333333,0,N,0.0,96997.0,BRAZIL,SAO PAULO
E02284,JOSEPHINE SALAZAR,FIELD ENGINEER,ENGINEERING,SPECIALITY PRODUCTS,FEMALE,LATINO,36,14/03/2016,85870,7155.833333333333,0,N,0.0,85870.0,BRAZIL,SAO PAULO
E03359,AUTUMN ORTIZ,FIELD ENGINEER,ENGINEERING,RESEARCH & DEVELOPMENT,FEMALE,LATINO,30,17/12/2017,87744,7312.0,0,N,0.0,87744.0,BRAZIL,SAO PAULO
E03717,JOSEPH RUIZ,FIELD ENGINEER,ENGINEERING,MANUFACTURING,MALE,LATINO,45,26/02/2002,75819,6318.25,0,N,0.0,75819.0,BRAZIL,SAO PAULO
E02024,ADDISON PEREZ,OPERATIONS ENGINEER,ENGINEERING,SPECIALITY PRODUCTS,FEMALE,LATINO,29,25/09/2020,123588,10299.0,0,N,0.0,123588.0,BRAZIL,SAO PAULO
E03160,CARTER ORTIZ,QUALITY ENGINEER,ENGINEERING,SPECIALITY PRODUCTS,MALE,LATINO,54,29/04/2012,96441,8036.75,0,N,0.0,96441.0,BRAZIL,SAO PAULO
E00577,NORA NUNEZ,ANALYST II,FINANCE,RESEARCH & DEVELOPMENT,FEMALE,LATINO,45,06/08/2012,58586,4882.166666666667,0,N,0.0,58586.0,BRAZIL,SAO PAULO
E00972,AMELIA SALAZAR,ANALYST II,FINANCE,CORPORATE,FEMALE,LATINO,26,23/04/2019,59817,4984.75,0,N,0.0,59817.0,BRAZIL,SAO PAULO
E01075,JOSHUA JUAREZ,ANALYST II,FINANCE,MANUFACTURING,MALE,LATINO,46,05/05/2015,64364,5363.666666666667,0,N,0.0,64364.0,BRAZIL,SAO PAULO
E02968,CAROLINE SANTOS,ANALYST II,FINANCE,RESEARCH & DEVELOPMENT,FEMALE,LATINO,25,12/07/2020,56565,4713.75,0,N,0.0,56565.0,BRAZIL,SAO PAULO
E02147,ALLISON MEDINA,MANAGER,FINANCE,SPECIALITY PRODUCTS,FEMALE,LATINO,55,29/04/2010,111038,9253.166666666666,5,Y,5551.900000000001,116589.9,BRAZIL,SAO PAULO
E04103,ISABELLA SOTO,VICE PRESIDENT,FINANCE,CORPORATE,FEMALE,LATINO,27,15/12/2021,255369,21280.75,33,Y,84271.77,339640.77,BRAZIL,SAO PAULO
E01264,HAZEL ALVAREZ,BUSINESS PARTNER,HUMAN RESOURCES,RESEARCH & DEVELOPMENT,FEMALE,LATINO,62,19/04/2014,45295,3774.5833333333335,0,N,0.0,45295.0,BRAZIL,SAO PAULO
E02561,SAMANTHA VARGAS,DIRECTOR,HUMAN RESOURCES,CORPORATE,FEMALE,LATINO,53,21/07/2006,151246,12603.833333333334,21,Y,31761.66,183007.66,BRAZIL,SAO PAULO
E04562,KINSLEY MARTINEZ,DIRECTOR,HUMAN RESOURCES,SPECIALITY PRODUCTS,FEMALE,LATINO,52,28/08/1993,177443,14786.916666666666,25,Y,44360.75,221803.75,BRAZIL,SAO PAULO
E00972,HAZEL CORTEZ,HRIS ANALYST,HUMAN RESOURCES,RESEARCH & DEVELOPMENT,FEMALE,LATINO,52,18/04/2021,50548,4212.333333333333,0,N,0.0,50548.0,BRAZIL,SAO PAULO
E01584,CARTER MEJIA,SR. MANAGER,HUMAN RESOURCES,RESEARCH & DEVELOPMENT,MALE,LATINO,29,09/05/2019,125828,10485.666666666666,15,Y,18874.2,144702.2,BRAZIL,SAO PAULO
E04564,LUKE SANCHEZ,SR. MANAGER,HUMAN RESOURCES,MANUFACTURING,MALE,LATINO,41,27/12/2015,129903,10825.25,13,Y,16887.39,146790.39,BRAZIL,SAO PAULO
E02391,NATALIA SANTOS,VICE PRESIDENT,HUMAN RESOURCES,SPECIALITY PRODUCTS,FEMALE,LATINO,45,25/02/2019,249801,20816.75,39,Y,97422.39000000001,347223.39,BRAZIL,SAO PAULO
E02554,JOSHUA RAMIREZ,VICE PRESIDENT,HUMAN RESOURCES,CORPORATE,MALE,LATINO,44,10/09/2007,181247,15103.916666666666,33,Y,59811.51,241058.51,BRAZIL,SAO PAULO
E01649,EVA ALVARADO,COMPUTER SYSTEMS MANAGER,IT,MANUFACTURING,FEMALE,LATINO,46,24/04/2017,77461,6455.083333333333,9,Y,6971.49,84432.49,BRAZIL,SAO PAULO
E04504,JAMESON ALVARADO,ENTERPRISE ARCHITECT,IT,MANUFACTURING,MALE,LATINO,47,14/03/1999,92897,7741.416666666667,0,N,0.0,92897.0,BRAZIL,SAO PAULO
E04931,ZOE ROMERO,NETWORK ARCHITECT,IT,MANUFACTURING,FEMALE,LATINO,32,05/10/2021,88072,7339.333333333333,0,N,0.0,88072.0,BRAZIL,SAO PAULO
E02192,LUCY AVILA,SOLUTIONS ARCHITECT,IT,SPECIALITY PRODUCTS,FEMALE,LATINO,43,22/04/2010,76912,6409.333333333333,0,N,0.0,76912.0,BRAZIL,SAO PAULO
E01241,HADLEY GUERRERO,SR. MANAGER,IT,RESEARCH & DEVELOPMENT,FEMALE,LATINO,49,14/01/2004,125086,10423.833333333334,10,Y,12508.599999999999,137594.6,BRAZIL,SAO PAULO
E03520,NOLAN PENA,ANALYST,MARKETING,MANUFACTURING,MALE,LATINO,30,21/06/2018,56154,4679.5,0,N,0.0,56154.0,BRAZIL,SAO PAULO
E00900,ELEANOR DELGADO,SR. ANALYST,MARKETING,MANUFACTURING,FEMALE,LATINO,33,27/04/2014,75869,6322.416666666667,0,N,0.0,75869.0,BRAZIL,SAO PAULO
E01422,LYDIA ESPINOZA,SR. MANAGER,MARKETING,SPECIALITY PRODUCTS,FEMALE,LATINO,29,15/05/2020,137106,11425.5,12,Y,16452.72,153558.72,BRAZIL,SAO PAULO
E00791,THOMAS PADILLA,VICE PRESIDENT,MARKETING,RESEARCH & DEVELOPMENT,MALE,LATINO,57,26/07/2003,206624,17218.666666666668,40,Y,82649.59999999999,289273.6,BRAZIL,SAO PAULO
E01347,AIDEN GONZALES,VICE PRESIDENT,MARKETING,SPECIALITY PRODUCTS,MALE,LATINO,44,28/03/2021,186033,15502.75,34,Y,63251.22,249284.22,BRAZIL,SAO PAULO
E00725,NOVA HERRERA,ACCOUNT REPRESENTATIVE,SALES,SPECIALITY PRODUCTS,FEMALE,LATINO,45,10/05/2014,65047,5420.583333333333,0,N,0.0,65047.0,BRAZIL,SAO PAULO
E00788,EMILY CONTRERAS,ANALYST II,SALES,MANUFACTURING,FEMALE,LATINO,56,15/06/1992,59591,4965.916666666667,0,N,0.0,59591.0,BRAZIL,SAO PAULO
E00943,ELENA MENDOZA,DIRECTOR,SALES,SPECIALITY PRODUCTS,FEMALE,LATINO,27,24/10/2018,154973,12914.416666666666,29,Y,44942.17,199915.16999999998,BRAZIL,SAO PAULO
E03521,JACKSON NAVARRO,DIRECTOR,SALES,CORPORATE,MALE,LATINO,52,25/09/2020,163143,13595.25,28,Y,45680.04,208823.04,BRAZIL,SAO PAULO
E03102,COOPER VALDEZ,MANAGER,SALES,CORPORATE,MALE,LATINO,50,25/04/2012,113269,9439.083333333334,9,Y,10194.210000000001,123463.21,BRAZIL,SAO PAULO
E04168,MILA JUAREZ,MANAGER,SALES,SPECIALITY PRODUCTS,FEMALE,LATINO,38,21/09/2017,119647,9970.583333333334,9,Y,10768.23,130415.23,BRAZIL,SAO PAULO
E01760,MADELINE ACOSTA,SR. ACCOUNT REPRESENTATIVE,SALES,SPECIALITY PRODUCTS,FEMALE,LATINO,26,09/02/2021,87427,7285.583333333333,0,N,0.0,87427.0,BRAZIL,SAO PAULO
E02254,JAXSON SANDOVAL,SR. ANALYST,SALES,SPECIALITY PRODUCTS,MALE,LATINO,61,03/05/2017,90855,7571.25,0,N,0.0,90855.0,BRAZIL,SAO PAULO
E02800,EVA ESTRADA,SR. MANAGER,SALES,SPECIALITY PRODUCTS,FEMALE,LATINO,45,24/07/2018,148991,12415.916666666666,12,Y,17878.920000000002,166869.92,BRAZIL,SAO PAULO
E02844,CHARLES DIAZ,SR. MANAGER,SALES,CORPORATE,MALE,LATINO,55,16/11/2013,124129,10344.083333333334,15,Y,18619.35,142748.35,BRAZIL,SAO PAULO
E03349,ADAM HE,DIRECTOR,ACCOUNTING,SPECIALITY PRODUCTS,MALE,ASIAN,35,16/08/2017,181356,15113.0,23,Y,41711.88,223067.88,CHINA,BEIJING
E02728,THOMAS CHANG,SR. ANALYST,ACCOUNTING,RESEARCH & DEVELOPMENT,MALE,ASIAN,34,26/07/2011,97231,8102.583333333333,0,N,0.0,97231.0,CHINA,BEIJING
E04487,AUDREY HWANG,SR. ANALYST,ACCOUNTING,SPECIALITY PRODUCTS,FEMALE,ASIAN,45,17/06/2020,89841,7486.75,0,N,0.0,89841.0,CHINA,BEIJING
E00144,THEODORE NGO,CONTROLS ENGINEER,ENGINEERING,RESEARCH & DEVELOPMENT,MALE,ASIAN,55,29/04/2018,83378,6948.166666666667,0,N,0.0,83378.0,CHINA,BEIJING
E02661,MAYA CHAN,CONTROLS ENGINEER,ENGINEERING,SPECIALITY PRODUCTS,FEMALE,ASIAN,37,13/02/2013,124827,10402.25,0,N,0.0,124827.0,CHINA,BEIJING
